ticker,name,consensus_tp,coverage_count,last_updated
009540,HD한국조선해양,555667,15,2026-08-11
042660,한화오션,141050,20,2026-08-11
010140,삼성중공업,38750,20,2026-08-11
329180,HD현대중공업,865400,20,2026-08-11
460930,현대힘스,,0,2026-08-11
075580,세진중공업,,0,2026-08-11
443060,HD현대마린솔루션,314727,11,2026-08-11
082740,한화엔진,88500,6,2026-08-11
077970,STX엔진,75500,2,2026-08-11
073010,케이에스피,,0,2026-08-11
014940,오리엔탈정공,,0,2026-08-11
096350,대창솔루션,,0,2026-08-11
044490,태웅,,0,2026-08-11
004140,동방,,0,2026-08-11
101930,인화정공,,0,2026-08-11
012450,한화에어로스페이스,1628235,17,2026-08-11
064350,현대로템,274118,17,2026-08-11
047810,한국항공우주,189500,18,2026-08-11
103140,풍산,108000,12,2026-08-11
003570,SNT다이내믹스,77000,1,2026-08-11
272210,한화시스템,109429,15,2026-08-11
214430,아이쓰리시스템,,0,2026-08-11
010820,퍼스텍,,0,2026-08-11
448710,코츠테크놀로지,,0,2026-08-11
003800,에이스침대,,0,2026-08-11
298040,효성중공업,4235385,13,2026-08-11
267260,HD현대일렉트릭,1193929,14,2026-08-11
103590,일진전기,112667,3,2026-08-11
033100,제룡전기,,0,2026-08-11
001440,대한전선,42643,7,2026-08-11
000500,가온전선,,0,2026-08-11
062040,산일전기,278889,9,2026-08-11
006260,LS,585667,12,2026-08-11
042370,비츠로테크,,0,2026-08-11
082920,비츠로셀,50333,3,2026-08-11
017040,광명전기,,0,2026-08-11
189860,서전기전,,0,2026-08-11
183190,아세아시멘트,15000,3,2026-08-11
300720,한일시멘트,19500,2,2026-08-11
038500,삼표시멘트,,0,2026-08-11
004980,성신양회,,0,2026-08-11
010130,고려아연,1564600,5,2026-08-11
108670,LX하우시스,46750,4,2026-08-11
017800,현대엘리베이터,95000,1,2026-08-11
023410,유진기업,,0,2026-08-11
067900,와이엔텍,,0,2026-08-11
060150,인선이엔티,,0,2026-08-11
043910,자연과환경,,0,2026-08-11
126880,제이엔케이글로벌,,0,2026-08-11
034020,두산에너빌리티,129375,16,2026-08-11
052690,한전기술,179545,11,2026-08-11
051600,한전KPS,65455,11,2026-08-11
105840,우진,32000,1,2026-08-11
083650,비에이치아이,110000,3,2026-08-11
046120,오르비텍,,0,2026-08-11
094820,일진파워,,0,2026-08-11
140520,대창스틸,,0,2026-08-11
