ticker,investment_opinion,eps,per,note
009540,4.0,54223.0,7.34,
042660,4.0,6425.0,13.85,
010140,4.0,1068.0,20.41,
329180,4.0,30679.0,16.4,
460930,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
075580,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
443060,4.0,7838.0,25.52,
082740,4.0,2412.0,18.53,
077970,4.0,2117.0,13.37,
073010,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
014940,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
096350,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
044490,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
004140,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
101930,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
012450,4.0,44765.0,24.53,
064350,4.0,8202.0,17.24,
047810,3.94,2639.0,51.35,
103140,4.0,10612.0,7.87,
003570,4.0,2734.0,11.76,
272210,3.87,808.0,90.27,
214430,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
010820,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
448710,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
003800,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
298040,4.0,82756.0,34.21,
267260,4.0,26555.0,27.83,
103590,4.0,3352.0,18.44,
033100,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
001440,4.0,472.0,60.0,
000500,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
062040,4.0,6976.0,26.48,
006260,4.0,19854.0,16.24,
042370,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
082920,4.0,1724.0,20.28,
017040,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
189860,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
183190,4.0,1110.0,8.56,
300720,4.0,952.0,15.65,
038500,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
004980,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
010130,4.0,60524.0,20.31,
108670,4.0,8748.0,4.04,
017800,4.0,4221.0,16.82,
006390,,,,컨센서스 블록 없음 (G1 탈락)
023410,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
029960,,,,컨센서스 블록 없음 (G1 탈락)
067900,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
060150,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
043910,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
126880,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
034020,4.0,493.0,158.12,
052690,4.0,1619.0,61.52,
051600,4.0,3348.0,13.65,
105840,4.0,797.0,18.67,
083650,4.0,2520.0,21.67,
046120,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
094820,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
140520,,,,최근 3개월 내 의견 없음 — 커버리지 0 (G1 탈락)
